ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
INZ031415512,134320626.0,"Dobara Humein Kya - From ""Auron Mein Kahan Dum Tha""","M. M. Kreem, Jubin Nautiyal, Sunidhi Chauhan",bollywood,bollywood,501219,"ROMANTIC, DARK",
INS181303031,17063542.0,Tum Hi Ho,"Mithoon, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, emotional, dramatic, heartwarming, sincere, soulful","sleep, soft, lofi, study"
INS182402832,137371544.0,"Raanjhan (From ""Do Patti"")","Parampara Tandon, Sachet-Parampara, Kausar Munir","bollywood, new romantic, pakistani fusion, south asian classical","bollywood, south asian classical, new romantic, pakistani fusion","501219, 503287, 507743, 507755","betrayal, longing, melancholic, wistful","soft, lofi"
INH102500536,142519267.0,"Tu Hain Toh Main Hoon (From ""Sky Force"")","Tanishk Bagchi, Arijit Singh, Afsana Khan, Irshad Kamil","bollywood, haryanvi, punjabi, new romantic","bollywood, haryanvi, punjabi, new romantic","501219, 501514, 501717, 507743","affectionate, devoted, uplifting, heartwarming, hopeful","soft, sleep"
INH102409256,131161883.0,"Aaj Ki Raat (From ""Stree 2"")","Sachin-Jigar, Madhubanti Bagchi, Divya Kumar, Amitabh Bhattacharya","indian fusion, new romantic, indian pop, bollywood, south asian classical, pakistani fusion","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","chill, happy, soulful, fun, family, energetic","late-night, self-love"
INZ031415339,121739221.0,"Tainu Khabar Nahi - From ""Munjya""","Sachin-Jigar, Arijit Singh","bollywood, new romantic, pakistani fusion, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","longing, yearning, soulful","soft, lofi, roadtrip"
INH102409715,133987748.0,,"Sachin-Jigar, Varun Jain, Shilpa Rao, Amitabh Bhattacharya",,,,,
US38Y2435162,142779682.0,,"Kushagra, Bharath, Saaheal",,,,,
INH102409603,133223739.0,"Aayi Nai (From ""Stree 2"")","Sachin-Jigar, Pawan Singh, Simran Choudhary, Divya Kumar, Amitabh Bhattacharya","new romantic, indian fusion, indian pop, bollywood, south asian classical","bollywood, indian pop, south asian classical, indian fusion, new romantic","501219, 501220, 503287, 507684, 507743","catchy, fun, celebratory, festive, playful, upbeat","dancy, rural"
INS182402380,135437437.0,Millionaire,Yo Yo Honey Singh,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","celebratory, energetic, festive",partying
INZ031417833,141790741.0,,"Amit Trivedi, Madhubanti Bagchi, Amitabh Bhattacharya",,,,,
INH102408328,125603123.0,"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"punjabi, punjabi trap, pakistani fusion, indian fusion, new romantic","punjabi, indian fusion, new romantic, pakistani fusion, punjabi trap","501717, 507684, 507743, 507755, 507791","catchy, fun","dancy, daydreaming, partying, self-love"
INS172500071,142881105.0,"Jaane Tu (From ""Chhaava"")","A.R. Rahman, Arijit Singh, Irshad Kamil","bollywood, haryanvi, punjabi, new romantic","bollywood, haryanvi, punjabi, new romantic","501219, 501514, 501717, 507743","emotional, soulful","soft, sleep"
AUBEC2362614,139415062.0,Wavy,"Karan Aujla, Jay Trak",punjabi,punjabi,501717,"fun, energetic, upbeat",partying
INT202405090,140325278.0,Ishq Hai,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast","bollywood, new romantic, pakistani fusion, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, soothing",soft
